Row number,Sector,Gas,Activity,Additional aggregation,Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
87,Waste,N2O,Energy,Associated Incinerator Fuels,Distillate fuel oil-steam,0.01192,0.00917,0.01822,0.02002,0.02379,0.02033,0.05351,0.02072,0.01212,0.01125,0.01325,0.00438,0.005,0.02233,0.01561,0.00622,0.00254,0.00634,0.00791,0.00173,0.00006
88,Waste,N2O,Energy,Associated Incinerator Fuels,Natural gas-internal combustion engine,0,0,0,0.00047,0.00277,0.00231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Waste,N2O,Energy,Associated Incinerator Fuels,Distillate fuel oil-internal combustion engine,0,0,0.00129,0.00087,0.00271,0.00709,0.00386,0.00461,0.0047,0.00632,0.00408,0.00592,0.00778,0.00369,0.01066,0.01295,0.01363,0.01515,0.01185,0.00626,0.00457
90,Waste,N2O,Energy,Waste Processing,Landfill Operations (energy),0.27207,0.21722,0.21336,0.19928,0.20388,0.21157,0.2326,0.30897,0.35503,0.39676,0.38597,0.3966,0.39343,0.36562,0.4802,0.44021,0.46294,0.45909,0.44607,0.34829,0.42948
91,Waste,N2O,Energy,Waste Processing,Yard Waste Preprocessing (energy),0.01687,0.05869,0.06909,0.07223,0.07381,0.07337,0.07337,0.07337,0.07337,0.07337,0.07337,0.07337,0.07337,0.07337,0.07337,0.07334,0.07324,0.07324,0.07324,0.07324,0.07324
92,Waste,N2O,Energy,Waste Processing,MMSW Compost Preprocessing (energy),0.00636,0.01113,0.01608,0.01551,0.00904,0.01055,0.00988,0.00546,0.00317,0.00348,0.00256,0.00252,0.00261,0.003,0.00396,0.0038,0.00278,0.00278,0.00273,0.00259,0.00252
93,Waste,N2O,Energy,Waste Processing,MRF (energy),0.08994,0.11675,0.13331,0.14397,0.15746,0.17296,0.18483,0.19585,0.20611,0.21292,0.22194,0.2217,0.22444,0.2277,0.23714,0.24278,0.24576,0.25271,0.25315,0.24014,0.23752
94,Waste,N2O,Energy,Waste Processing,RDF Processing (energy),0.05566,0.06026,0.06217,0.06632,0.06471,0.06445,0.06534,0.07072,0.0725,0.06536,0.06428,0.06077,0.06588,0.06343,0.06181,0.06321,0.05688,0.06233,0.06039,0.05514,0.0528
95,Waste,N2O,Energy,Waste Processing,Incinerator Ash Disposal (energy),0.00013,0.00013,0.00013,0.00012,0.00012,0.00009,0.00006,0.00008,0.00009,0.00004,0,0,0,0,0,0,0,0,0,0,0
96,Waste,N2O,Energy,Waste Processing,Hazardous Waste (energy),8.965,8.2315,9.617,7.78488,7.78488,8.09458,7.5306,3.98209,3.61861,1.67822,9.28504,14.34194,13.08775,14.68171,12.80143,10.74434,12.36967,11.56255,12.10115,10.07958,11.27194
97,Waste,N2O,Waste,,LFG Combustion/Flaring,0,0,0,0,0.0354,0.05649,0.0578,0.0765,0.05864,0.11412,0.11309,0.08617,0.11574,0.14147,0.15758,0.19844,0.15522,0.11771,0.10727,0.11596,0.12034
98,Waste,N2O,Waste,,Rural Open Burning,14.39985,14.09398,13.48978,12.93923,12.17088,11.427,10.54297,9.66482,9.29354,9.54614,11.52756,10.47481,9.89294,9.71906,9.66506,9.4727,9.19023,8.52339,8.57067,8.45103,8.21728
99,Waste,N2O,Waste,,Medical Waste Incineration,0.31201,0.75688,0.87101,0.86803,0.50568,0.85371,1.6677,1.60637,1.13768,1.00728,0.70816,0.75362,0.5852,0.47755,0.62903,0.61587,0.58751,0.74439,0.61732,0.60976,0.60371
100,Waste,N2O,Waste,,Misc. Industrial/Comm Waste Incineration,13.02989,13.63394,14.53015,14.47335,1.27789,0.53941,0.63192,0.57099,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Waste,N2O,Waste,,Municipal Wastewater,248.04383,260.72915,264.75902,262.06248,260.99393,261.25154,264.35962,273.01821,285.76506,296.69325,299.60217,292.51466,307.88166,304.71184,318.89822,305.62096,309.15309,310.83527,316.26728,318.18519,319.7729
